Time	T(Setpoint)	T(Copper)	T(Cell1)	T(Cell2)	T(Cell3)	T(Cell4)	DAC
s	°C	°C	°C	°C	°C	°C	V
0,000000E+0	3,700000E+1	3,633865E+1	3,582859E+1	3,583952E+1	3,556627E+1	3,567921E+1	9,000000E+0
1,000000E+0	3,700000E+1	3,630222E+1	3,579215E+1	3,580308E+1	3,552983E+1	3,565007E+1	0,000000E+0
2,000000E+0	3,700000E+1	3,626975E+1	3,576698E+1	3,576698E+1	3,550101E+1	3,562124E+1	2,570343E-1
3,000000E+0	3,700000E+1	3,624425E+1	3,574512E+1	3,574876E+1	3,547915E+1	3,560302E+1	0,000000E+0
4,000000E+0	3,700000E+1	3,622935E+1	3,572657E+1	3,573022E+1	3,546061E+1	3,558084E+1	0,000000E+0
5,000000E+0	3,700000E+1	3,619292E+1	3,569743E+1	3,571564E+1	3,543875E+1	3,555170E+1	4,180090E+0
6,000000E+0	3,700000E+1	3,616013E+1	3,568285E+1	3,569014E+1	3,542418E+1	3,554076E+1	4,546640E+0
7,000000E+0	3,700000E+1	3,614571E+1	3,566843E+1	3,566843E+1	3,539518E+1	3,551177E+1	2,433771E+0
8,000000E+0	3,700000E+1	3,610945E+1	3,563217E+1	3,563581E+1	3,537714E+1	3,549008E+1	6,698799E+0
9,000000E+0	3,700000E+1	3,607681E+1	3,560318E+1	3,561046E+1	3,534450E+1	3,545744E+1	7,107582E+0
1,000000E+1	3,700000E+1	3,606605E+1	3,558513E+1	3,559241E+1	3,532645E+1	3,544304E+1	4,453182E+0
1,100000E+1	3,700000E+1	3,605527E+1	3,557071E+1	3,557799E+1	3,531203E+1	3,542862E+1	5,090687E+0
1,200000E+1	3,700000E+1	3,605179E+1	3,557088E+1	3,556723E+1	3,530127E+1	3,542879E+1	4,521147E+0
1,300000E+1	3,700000E+1	3,604466E+1	3,555281E+1	3,555646E+1	3,528321E+1	3,541072E+1	5,654564E+0
1,400000E+1	3,700000E+1	3,604118E+1	3,554934E+1	3,555662E+1	3,528337E+1	3,541818E+1	5,637356E+0
1,500000E+1	3,700000E+1	3,603405E+1	3,553856E+1	3,555313E+1	3,527259E+1	3,539647E+1	6,776077E+0
1,600000E+1	3,700000E+1	3,603073E+1	3,552795E+1	3,553524E+1	3,525470E+1	3,538950E+1	6,738920E+0
1,700000E+1	3,700000E+1	3,603073E+1	3,553159E+1	3,553524E+1	3,525470E+1	3,538950E+1	6,725166E+0
1,800000E+1	3,700000E+1	3,604198E+1	3,552827E+1	3,553920E+1	3,524774E+1	3,538254E+1	5,347372E+0
1,900000E+1	3,700000E+1	3,606020E+1	3,553556E+1	3,554649E+1	3,525502E+1	3,539347E+1	4,499773E+0
